Period,net_income,depreciation,capex,working_capital_change,owner_earnings
2025Q1,-82406000.0,9132000.0,-14952000.0,127490000.0,39264000.0
2024Q4,-246277000.0,9477000.0,-15420000.0,-229437000.0,-481657000.0
2024Q3,-143878000.0,8903000.0,-9858000.0,122471000.0,-22362000.0
2024Q2,-123292000.0,8685000.0,-8454000.0,98945000.0,-24116000.0
2024Q1,-94587000.0,8507000.0,-6885000.0,97165000.0,4200000.0
2023Q4,-115103000.0,8141000.0,-7867000.0,77601000.0,-37228000.0
2023Q3,1525000.0,7827000.0,-8590000.0,92442000.0,93204000.0
2023Q2,-286079000.0,7458000.0,-5384000.0,-197835000.0,-481840000.0
2023Q1,-113393000.0,7067000.0,-8756000.0,71152000.0,-43930000.0
2022Q4,-66944000.0,6573000.0,-30478000.0,21259000.0,-69590000.0
2022Q3,-79206000.0,6349000.0,-5380000.0,72320000.0,-5917000.0
2022Q2,-49574000.0,5861000.0,-8199000.0,76888000.0,24976000.0
2022Q1,-62319000.0,5212000.0,-10833000.0,80252000.0,12312000.0
2021Q4,5045000.0,4476000.0,-11646000.0,70197000.0,68072000.0
2021Q3,-78858000.0,4172000.0,-6185000.0,-1375175000.0,-1456046000.0
2021Q2,-65006000.0,3962000.0,-9427000.0,1002600.0,-69468400.0
2021Q1,-41505000.0,3333000.0,-5082000.0,1061900.0,-42192100.0
2020Q4,-726400.0,0.0,0.0,928100.0,201700.0
2020Q3,-28028000.0,5157000.0,-17742000.0,0.0,-40613000.0
